4.333595;spawner1;0;0.001
4.354745;spawner1;0.021;0.002
4.37948;spawner1;0.046;0.003
4.396337;spawner1;0.063;0.004
4.412966;spawner1;0.08;0.005
4.429662;spawner1;0.096;0.006
4.479341;spawner1;0.146;0.007
4.499942;spawner1;0.167;0.008
4.534868;spawner1;0.202;0.009
4.563513;spawner1;0.23;0.01
4.580158;spawner1;0.247;0.011
4.596737;spawner1;0.263;0.012
4.615629;spawner1;0.282;0.013
4.63252;spawner1;0.299;0.014
4.648893;spawner1;0.316;0.015
4.665374;spawner1;0.332;0.016
4.703266;spawner1;0.37;0.017
4.731183;spawner1;0.398;0.018
4.748042;spawner1;0.415;0.019
4.76461;spawner1;0.431;0.02
4.78124;spawner1;0.448;0.021
4.797894;spawner1;0.465;0.022
4.81454;spawner1;0.481;0.023
4.831503;spawner1;0.498;0.024
4.871637;spawner1;0.538;0.025
4.895403;spawner1;0.562;0.026
4.912163;spawner1;0.579;0.027
4.928814;spawner1;0.595;0.028
4.947379;spawner1;0.614;0.029
4.964357;spawner1;0.631;0.03
4.980859;spawner1;0.648;0.031
4.997442;spawner1;0.664;0.032
5.039428;spawner1;0.706;0.033
5.063495;spawner1;0.73;0.034
5.080264;spawner1;0.747;0.035
5.096978;spawner1;0.764;0.036
5.115609;spawner1;0.782;0.037
5.132445;spawner1;0.799;0.038
5.149001;spawner1;0.816;0.039
5.187239;spawner1;0.854;0.04
5.215598;spawner1;0.882;0.041
5.232254;spawner1;0.899;0.042
5.249009;spawner1;0.916;0.043
5.265517;spawner1;0.932;0.044
5.282224;spawner1;0.949;0.045
5.29903;spawner1;0.966;0.046
5.315011;spawner1;0.982;0.047
5.355547;spawner1;1.022;0.048
5.379429;spawner1;1.046;0.049
5.39629;spawner1;1.063;0.05
5.412766;spawner1;1.079;0.051
5.431554;spawner1;1.098;0.052
5.448366;spawner1;1.115;0.053
5.46494;spawner1;1.132;0.054
5.481473;spawner1;1.148;0.055
5.519489;spawner1;1.186;0.056
5.54724;spawner1;1.214;0.057
5.564132;spawner1;1.231;0.058
5.583396;spawner1;1.25;0.059
5.600631;spawner1;1.267;0.06
5.631851;spawner1;1.299;0.061
5.671748;spawner1;1.338;0.062
5.695062;spawner1;1.362;0.063
5.71191;spawner1;1.379;0.064
5.731712;spawner1;1.398;0.065
5.748391;spawner1;1.415;0.066
5.765156;spawner1;1.432;0.067
5.781726;spawner1;1.448;0.068
5.799593;spawner1;1.466;0.069
5.839507;spawner1;1.506;0.07
5.863267;spawner1;1.53;0.071
5.880012;spawner1;1.547;0.072
5.89667;spawner1;1.563;0.073
5.915473;spawner1;1.582;0.074
5.932245;spawner1;1.599;0.075
5.948813;spawner1;1.615;0.076
5.965347;spawner1;1.632;0.077
6.007591;spawner1;1.674;0.078
6.031392;spawner1;1.698;0.079
6.048481;spawner1;1.715;0.08
6.064834;spawner1;1.731;0.081
6.083415;spawner1;1.75;0.082
6.100235;spawner1;1.767;0.083
6.117063;spawner1;1.784;0.084
6.13324;spawner1;1.8;0.085
6.171289;spawner1;1.838;0.086
6.199125;spawner1;1.866;0.087
6.216078;spawner1;1.883;0.088
6.232365;spawner1;1.899;0.089
6.249084;spawner1;1.916;0.09
6.265697;spawner1;1.932;0.091
6.282365;spawner1;1.949;0.092
6.299531;spawner1;1.966;0.093
