1.017031;39
2.034284;58
3.035239;59
4.051785;58
5.051852;57
6.072368;60
7.090713;53
8.110576;39
9.120056;44
10.1268;45
1.019365;59
2.029361;61
3.031129;53
4.045009;61
5.05626;48
6.06976;61
7.077875;60
8.085113;60
9.095679;61
10.10122;57
11.11178;61
12.11191;59
13.12247;61
14.13487;61
15.14544;61
16.15576;57
17.15706;56
18.17238;57
19.18398;57
20.18553;56
21.19552;56
22.20668;58
23.22153;60
24.2308;60
25.24596;59
26.26028;42
27.27429;60
28.27938;57
1.015866;38
2.029241;57
3.034115;60
4.034172;60
5.052691;47
6.052958;53
7.06895;50
8.08195;50
9.103727;49
10.11749;46
